class,n,p_orig,p_base,del_auc_norm,ins_auc_norm,combined,cons_spearman,cons_jaccard_5,cons_jaccard_10,infidelity_prob_best_sigma,infidelity_prob,infidelity_prob_grid,sens_windowed_delta_prob,config
sinus bradycardia,16,0.938064455986023,0.8756692409515381,0.1644276311327347,0.8350561381421444,0.8353142535047049,0.9291081331586593,0.6431090425624794,0.654761382070545,0.001,2.171209777657168e-05,"{""0.001"": 2.171209777657168e-05, ""0.002"": 0.0001147764883171476}",0.006233859807252884,"{""subset"": 16, ""prob_thresh"": 0.9, ""win"": 48, ""ig_steps"": 12, ""ig_samples"": 3, ""ig_sigma"": 0.02, ""bs"": 16, ""auc_steps"": 11, ""do_consistency"": true, ""do_infidelity"": true, ""infid_sigmas"": [0.001, 0.002]}"
nonspecific intraventricular conduction disorder,16,0.7291053533554077,0.4931934177875519,0.15239411131112954,0.7825686356242416,0.815087262156556,0.9046770375686071,0.5767943639614663,0.6009478630137397,0.001,0.0010528256552788662,"{""0.001"": 0.0010528256552788662, ""0.002"": 0.005171534587134374}",0.0354875884950161,"{""subset"": 16, ""prob_thresh"": 0.9, ""win"": 48, ""ig_steps"": 12, ""ig_samples"": 3, ""ig_sigma"": 0.02, ""bs"": 16, ""auc_steps"": 11, ""do_consistency"": true, ""do_infidelity"": true, ""infid_sigmas"": [0.001, 0.002]}"
left anterior fascicular block,16,0.9410702586174011,0.4683750867843628,0.20588263405254545,0.8140069604498882,0.8040621631986713,0.8741172316150327,0.4706404719995394,0.5199725669737071,0.001,0.002818709155690158,"{""0.001"": 0.002818709155690158, ""0.002"": 0.011295565374894068}",0.022207345813512802,"{""subset"": 16, ""prob_thresh"": 0.9, ""win"": 48, ""ig_steps"": 12, ""ig_samples"": 3, ""ig_sigma"": 0.02, ""bs"": 16, ""auc_steps"": 11, ""do_consistency"": true, ""do_infidelity"": true, ""infid_sigmas"": [0.001, 0.002]}"
supraventricular premature beats,16,0.9795619249343872,0.4448711574077606,0.423998782307511,0.8784205171399504,0.7272108674162197,0.7117427391543221,0.27260414987699594,0.32199169968149377,0.001,1.0441785529255867,"{""0.001"": 1.0441785529255867, ""0.002"": 3.5168129093945026}",0.006640162318944931,"{""subset"": 16, ""prob_thresh"": 0.9, ""win"": 48, ""ig_steps"": 12, ""ig_samples"": 3, ""ig_sigma"": 0.02, ""bs"": 16, ""auc_steps"": 11, ""do_consistency"": true, ""do_infidelity"": true, ""infid_sigmas"": [0.001, 0.002]}"
prolonged pr interval,16,0.9489286541938782,0.026373853906989098,0.24049503798532593,0.6751901780972199,0.7173475700559471,0.878390333317666,0.47402739737490196,0.5180265552651223,0.001,0.00829087814054219,"{""0.001"": 0.00829087814054219, ""0.002"": 0.028997766494285315}",0.019753873348236084,"{""subset"": 16, ""prob_thresh"": 0.9, ""win"": 48, ""ig_steps"": 12, ""ig_samples"": 3, ""ig_sigma"": 0.02, ""bs"": 16, ""auc_steps"": 11, ""do_consistency"": true, ""do_infidelity"": true, ""infid_sigmas"": [0.001, 0.002]}"
t wave abnormal,16,0.9376834630966187,0.4473623037338257,0.36452615910462394,0.7740294540883841,0.70475164749188,0.9223436953440937,0.6542034626911588,0.6652313478570107,0.001,0.00035721197264138027,"{""0.001"": 0.00035721197264138027, ""0.002"": 0.0012257095168024534}",0.012633133679628372,"{""subset"": 16, ""prob_thresh"": 0.9, ""win"": 48, ""ig_steps"": 12, ""ig_samples"": 3, ""ig_sigma"": 0.02, ""bs"": 16, ""auc_steps"": 11, ""do_consistency"": true, ""do_infidelity"": true, ""infid_sigmas"": [0.001, 0.002]}"
left axis deviation,16,0.9370625019073486,0.2508719563484192,0.3560581065626018,0.7634712924747586,0.7037065929560784,0.9000249211943423,0.5360557789372636,0.6039826214658958,0.001,0.0083783983864123,"{""0.001"": 0.0083783983864123, ""0.002"": 0.032725310913519934}",0.025223057717084885,"{""subset"": 16, ""prob_thresh"": 0.9, ""win"": 48, ""ig_steps"": 12, ""ig_samples"": 3, ""ig_sigma"": 0.02, ""bs"": 16, ""auc_steps"": 11, ""do_consistency"": true, ""do_infidelity"": true, ""infid_sigmas"": [0.001, 0.002]}"
pacing rhythm,16,0.99367356300354,0.0559837706387043,0.47955052167835566,0.8783568948616575,0.6994031865916509,0.8929029182593513,0.47895701522479717,0.5763585005241124,0.001,0.009423817387869349,"{""0.001"": 0.009423817387869349, ""0.002"": 0.025709342677146196}",0.005535803735256195,"{""subset"": 16, ""prob_thresh"": 0.9, ""win"": 48, ""ig_steps"": 12, ""ig_samples"": 3, ""ig_sigma"": 0.02, ""bs"": 16, ""auc_steps"": 11, ""do_consistency"": true, ""do_infidelity"": true, ""infid_sigmas"": [0.001, 0.002]}"
