val_idx,ev_cosine,ev_pearson,ev_spearman,ev_topK_jaccard,lead_cosine,lead_pearson,lead_spearman,lead_top5_jaccard,perlead_temporal_cosine_mean,perlead_temporal_iou_mean,filename_lime,filename_ts
523,0.8280724619784557,0.48684861063969326,0.5518796992481202,0.25,0.99670634545305,0.9944390370204325,0.9913043478260869,1.0,0.52685560230941,0.3333333333333333,C:\Users\nares\Documents\cvd-early-detection-ecg-uhull\data\china-physiological-signal-challenge-in-2018\Training_WFDB\A1591.mat,C:\Users\nares\Documents\cvd-early-detection-ecg-uhull\data\china-physiological-signal-challenge-in-2018\Training_WFDB\A1591.mat
547,0.9050893646898014,0.5084144312210758,0.3684210526315789,0.1111111111111111,0.9952770208196675,0.9919440443832843,0.8956521739130434,1.0,0.41523644211351884,0.2,C:\Users\nares\Documents\cvd-early-detection-ecg-uhull\data\china-physiological-signal-challenge-in-2018\Training_WFDB\A1868.mat,C:\Users\nares\Documents\cvd-early-detection-ecg-uhull\data\china-physiological-signal-challenge-in-2018\Training_WFDB\A1868.mat
MEAN,0.8665809133341286,0.49763152093038454,0.46015037593984953,0.18055555555555555,0.9959916831363588,0.9931915407018583,0.9434782608695651,1.0,0.4710460222114644,0.26666666666666666,,
